UP/DOWN/RIGHT/LEFT/1-10

   #1        #2        #3        #4        #5        #6        #7

80010090  80010090  80010010  80010010  80010010  80010010  80010010
80800080  80800080  80800000  80800000  80800000  80800000  80800000

80FF00A0  80FF00A0  80FF0020  80FF0020  80FF0020  80FF0020  80FF0020
80800080  80800080  80800000  80800000  80800000  80800000  80800000

FF800088  FF800088  FF800008  FF800008  FF800008  FF800008  FF800008
80800080  80800080  80800000  80800000  80800000  80800000  80800000

01800084  01800084  01800004  01800004  01800004  01800004  01800004
80800080  80800080  80800000  80800000  80800000  80800000  80800000

80800180  80800180  80800100  80800100  80800100  80800100  80800100
80800080  80800080  80800000  80800000  80800000  80800000  80800000

80800280  80800280  80800200  80800200  80800200  80800200  80800200
80800080  80800080  80800000  80800000  80800000  80800000  80800000

80800480  80800480  80800400  80800400  80800400  80800400  80800400
80800080  80800080  80800000  80800000  80800000  80800000  80800000

80800880  80800880  80800800  80800800  80800800  80800800  80800800
80800080  80800080  80800000  80800000  80800000  80800000  80800000

80801080  80801080  80801000  80801000  80801000  80801000  80801000
80800080  80800080  80800000  80800000  80800000  80800000  80800000

80802080  80802080  80802000  80802000  80802000  80802000  80802000
80800080  80800080  80800000  80800000  80800000  80800000  80800000

80804080  80804080  80804000  80804000  80804000  80804000  80804000
80800080  80800080  80800000  80800000  80800000  80800000  80800000

80808080  80808080  80808000  80808000  80808000  80808000  80808000
80800080  80800080  80800000  80800000  80800000  80800000  80800000

80800081  80800081  80800001  80800001  80800001  80800001  80800001
80800080  80800080  80800000  80800000  80800000  80800000  80800000

80800082  80800082  80800002  80800002  80800002  80800002  80800002
80800080  80800080  80800000  80800000  80800000  80800000  80800000






